sample,old bam mapped,old bam reads
HG00100,8907620,9003637
HG00101,6009971,6017185
HG00102,4537855,4543424
HG00103,4673847,4680746
HG00107,4903372,4925335
HG00108,7071057,7089165
HG00109,7094404,7124589
HG00110,6784492,6807992
HG00111,5466064,5489604
HG00113,5608100,5630221
HG00114,5286049,5310804
HG00116,11101866,11226940
HG00117,9386342,9488009
HG00119,10940472,11071865
HG00120,8050689,8108634
HG00121,5627118,5646492
HG00123,9119616,9215819
HG00124,9988147,10084838
HG00125,5469626,5504135
HG00127,2519675,2520158
HG00131,11200253,11346528
HG00133,9901586,9997097
HG00136,7109073,7146280
HG00137,4789931,4808540
HG00138,5117869,5143016
HG00139,6626834,6648910
HG00140,5411622,5438099
